date,open,high,low,close,volume
20200103 113000,1.30917,1.31181,1.30868,1.30981,21641
20200103 123000,1.30981,1.31009,1.30668,1.30681,24587
20200103 133000,1.30681,1.30883,1.3068,1.30786,17180
20200103 143000,1.30786,1.3079,1.30534,1.30589,14887
20200103 153000,1.30589,1.30825,1.30541,1.30804,14519
20200103 163000,1.30804,1.311,1.30721,1.30724,13606
20200103 173000,1.30724,1.30899,1.30683,1.30707,17233
20200103 183000,1.30707,1.30944,1.30693,1.30717,21845
20200103 193000,1.30717,1.30992,1.30695,1.30899,15097
20200103 203000,1.30899,1.30941,1.30805,1.30885,13425
20200103 213000,1.30885,1.30903,1.30729,1.30854,15289
20200103 223000,1.30854,1.30873,1.30744,1.30787,17517
20200103 233000,1.30787,1.30793,1.30719,1.30735,6434
20200104 003000,1.30735,1.308,1.30709,1.30791,6907
20200105 233000,1.30791,1.30856,1.30752,1.30752,30
20200106 003000,1.30752,1.30867,1.307,1.30861,45
20200106 013000,1.30861,1.30887,1.30672,1.30731,593
20200106 023000,1.30731,1.3085,1.30642,1.30774,7572
20200106 033000,1.30774,1.30883,1.3077,1.308,5225
20200106 043000,1.308,1.30817,1.30754,1.30793,4099
20200106 053000,1.30793,1.30885,1.30792,1.30875,2076
20200106 063000,1.30875,1.30906,1.30811,1.30822,3149
20200106 073000,1.30822,1.30871,1.30812,1.30843,2074
20200106 083000,1.30843,1.30861,1.308,1.30812,2373
20200106 093000,1.30812,1.30835,1.30687,1.30829,7212
20200106 103000,1.30829,1.30948,1.307,1.30733,16951
20200106 113000,1.30733,1.31087,1.30642,1.31059,21737
20200106 123000,1.31059,1.31486,1.31032,1.31432,27412
20200106 133000,1.31432,1.31736,1.31379,1.31525,23560
20200106 143000,1.31525,1.31746,1.3151,1.31569,16009
20200106 153000,1.31569,1.31571,1.31385,1.31386,12045
20200106 163000,1.31386,1.31491,1.31346,1.31407,11861
20200106 173000,1.31407,1.31613,1.31333,1.31368,14546
20200106 183000,1.31368,1.31626,1.31337,1.31588,15872
20200106 193000,1.31588,1.31699,1.3152,1.31625,11889
20200106 203000,1.31625,1.31746,1.31564,1.31594,10292
20200106 213000,1.31594,1.31679,1.31578,1.31578,7551
20200106 223000,1.31578,1.31644,1.31555,1.31632,7107
20200106 233000,1.31632,1.31677,1.31593,1.31663,5111
20200107 003000,1.31663,1.31703,1.31642,1.31699,2746
20200107 013000,1.31699,1.31794,1.31665,1.31762,1015
20200107 023000,1.31762,1.31769,1.31684,1.31719,6312
20200107 033000,1.31719,1.31771,1.31695,1.31732,4692
20200107 043000,1.31732,1.31777,1.31704,1.31719,3590
20200107 053000,1.31719,1.31728,1.31686,1.31697,2354
20200107 063000,1.31697,1.31761,1.31686,1.31737,2894
20200107 073000,1.31737,1.31758,1.31696,1.31712,4400
20200107 083000,1.31712,1.31727,1.31536,1.31543,2947
20200107 093000,1.31543,1.3163,1.31482,1.3156,8396
20200107 103000,1.3156,1.31622,1.31412,1.31438,13832
20200107 113000,1.31438,1.32125,1.31431,1.31884,28977
20200107 123000,1.31884,1.31976,1.31675,1.31733,18507
20200107 133000,1.31733,1.31739,1.31455,1.31606,22513
20200107 143000,1.31606,1.31645,1.31455,1.31472,14092
20200107 153000,1.31472,1.31479,1.31103,1.31208,23583
20200107 163000,1.31208,1.31237,1.31023,1.31183,20768
20200107 173000,1.31183,1.31361,1.31047,1.31058,18282
20200107 183000,1.31058,1.31246,1.30952,1.31214,21244
20200107 193000,1.31214,1.31328,1.31064,1.3126,13527
20200107 203000,1.3126,1.31397,1.31223,1.31277,12400
20200107 213000,1.31277,1.31375,1.31248,1.31253,9300
20200107 223000,1.31253,1.31273,1.31185,1.31204,12907
20200107 233000,1.31204,1.31237,1.31166,1.31181,6624
20200108 003000,1.31181,1.31246,1.31135,1.31232,5039
20200108 013000,1.31232,1.31285,1.31094,1.31186,969
20200108 023000,1.31186,1.31218,1.31052,1.31141,5453
20200108 033000,1.31141,1.31201,1.31071,1.31122,13274
20200108 043000,1.31122,1.31212,1.31114,1.31172,10106
20200108 053000,1.31172,1.31403,1.31172,1.31332,10211
20200108 063000,1.31332,1.31395,1.31239,1.3131,7337
20200108 073000,1.3131,1.31348,1.31186,1.31213,5162
20200108 083000,1.31213,1.31246,1.31163,1.31178,5681
20200108 093000,1.31178,1.31342,1.31176,1.31302,5968
20200108 103000,1.31302,1.31628,1.31267,1.31525,18237
20200108 113000,1.31525,1.31699,1.3139,1.31661,30685
20200108 123000,1.31661,1.31696,1.311,1.31202,22032
20200108 133000,1.31202,1.31362,1.30917,1.31201,28338
20200108 143000,1.31201,1.31247,1.30991,1.31088,20368
20200108 153000,1.31088,1.31199,1.30804,1.3093,21747
20200108 163000,1.3093,1.31252,1.30858,1.3122,20036
20200108 173000,1.3122,1.31395,1.31198,1.31256,17407
20200108 183000,1.31256,1.31338,1.30874,1.31006,18771
20200108 193000,1.31006,1.31092,1.3083,1.31088,22147
